session_id,plugin_time,plugout_time,duration_hours,energy_kwh,user_type,plugin_category,month
1,2019-10-24 11:17:00,2019-10-24 18:17:36,7.01,25.24,Shared,1,10
2,2019-11-12 22:37:00,2019-11-13 03:07:00,4.5,21.75,Private,6,11
3,2019-03-30 16:35:00,2019-03-31 00:22:24,7.79,28.04,Shared,4,3
4,2019-07-03 13:51:00,2019-07-04 04:13:48,14.38,51.77,Private,2,7
5,2019-07-05 14:13:00,2019-07-05 18:25:00,4.2,25.62,Private,3,7
6,2019-06-02 23:51:00,2019-06-03 04:03:00,4.2,15.12,Private,6,6
7,2019-06-12 07:53:00,2019-06-12 22:50:36,14.96,51.75,Shared,0,6
8,2018-12-24 20:05:00,2018-12-25 04:33:48,8.48,30.53,Private,5,12
9,2019-07-21 20:10:00,2019-07-21 23:44:12,3.57,25.7,Shared,5,7
10,2019-11-25 05:04:00,2019-11-25 12:18:24,7.24,26.06,Private,7,11
11,2019-07-25 14:43:00,2019-07-25 18:17:48,3.58,25.78,Shared,3,7
12,2019-03-28 23:25:00,2019-03-29 02:59:48,3.58,23.64,Shared,6,3
13,2019-09-17 02:13:00,2019-09-17 08:05:12,5.87,41.76,Shared,7,9
14,2019-07-23 09:15:00,2019-07-23 10:33:00,1.3,9.36,Private,1,7
15,2019-09-25 16:08:00,2019-09-25 17:36:48,1.48,10.66,Private,4,9
16,2019-01-26 09:50:00,2019-01-26 13:10:24,3.34,24.05,Private,1,1
17,2019-10-02 04:16:00,2019-10-02 06:42:24,2.44,8.78,Private,7,10
18,2019-09-01 23:07:00,2019-09-02 05:17:12,6.17,43.91,Private,6,9
19,2019-12-05 02:32:00,2019-12-05 05:09:12,2.62,9.43,Private,7,12
20,2019-10-17 14:09:00,2019-10-17 15:59:24,1.84,13.25,Private,3,10
21,2020-01-03 00:38:00,2020-01-03 14:27:12,13.82,46.87,Private,7,1
22,2019-06-04 02:15:00,2019-06-04 06:28:48,4.23,15.23,Private,7,6
23,2019-01-10 10:52:00,2019-01-10 16:03:24,5.19,18.68,Private,1,1
24,2019-02-03 10:35:00,2019-02-03 12:24:48,1.83,6.59,Shared,1,2
25,2019-07-05 04:48:00,2019-07-05 08:10:48,3.38,12.17,Private,7,7
26,2019-11-09 20:57:00,2019-11-10 02:18:00,5.35,26.66,Private,5,11
27,2019-05-23 08:14:00,2019-05-23 10:26:36,2.21,7.96,Shared,0,5
28,2018-12-31 12:55:00,2018-12-31 19:21:24,6.44,23.9,Private,2,12
29,2019-11-08 18:08:00,2019-11-08 21:23:00,3.25,23.4,Private,4,11
30,2019-06-27 12:42:00,2019-06-27 16:44:24,4.04,29.09,Private,2,6
31,2019-12-09 08:41:00,2019-12-09 11:56:00,3.25,11.7,Shared,0,12
32,2020-01-14 01:12:00,2020-01-14 19:18:36,18.11,49.5,Private,7,1
33,2019-03-04 14:55:00,2019-03-04 19:49:36,4.91,17.68,Shared,3,3
34,2019-09-08 11:34:00,2019-09-08 13:55:36,2.36,8.5,Shared,1,9
35,2019-04-01 10:30:00,2019-04-01 19:18:36,8.81,31.72,Shared,1,4
36,2019-02-23 15:16:00,2019-02-23 17:22:36,2.11,15.19,Shared,3,2
37,2019-12-10 04:42:00,2019-12-10 10:25:48,5.73,28.51,Private,7,12
38,2018-12-30 21:03:00,2018-12-30 22:18:36,1.26,9.07,Private,5,12
39,2019-08-15 04:10:00,2019-08-15 06:07:00,1.95,7.02,Private,7,8
40,2019-03-06 06:43:00,2019-03-06 12:23:48,5.68,20.45,Shared,0,3
41,2019-09-18 12:39:00,2019-09-18 20:57:36,8.31,29.92,Private,2,9
42,2019-08-25 15:13:00,2019-08-25 20:47:48,5.58,33.13,Private,3,8
43,2019-11-09 20:20:00,2019-11-10 00:54:12,4.57,16.45,Private,5,11
44,2019-09-15 00:34:00,2019-09-15 04:34:36,4.01,14.44,Private,7,9
45,2019-05-28 01:23:00,2019-05-28 03:08:36,1.76,12.67,Shared,7,5
46,2019-11-26 14:42:00,2019-11-26 17:41:24,2.99,21.53,Private,3,11
47,2019-02-07 14:47:00,2019-02-07 18:22:24,3.59,12.92,Private,3,2
48,2019-12-03 15:32:00,2019-12-04 01:54:48,10.38,33.81,Shared,3,12
49,2018-12-27 10:53:00,2018-12-27 17:11:00,6.3,22.42,Private,1,12
50,2019-02-05 20:10:00,2019-02-05 21:36:24,1.44,10.37,Private,5,2
51,2018-12-05 11:57:00,2018-12-05 18:09:36,6.21,22.36,Shared,1,12
52,2019-09-25 17:08:00,2019-09-25 20:54:48,3.78,13.61,Shared,4,9
53,2020-01-12 00:57:00,2020-01-12 04:01:48,3.08,22.18,Private,7,1
54,2019-01-22 15:39:00,2019-01-22 23:15:00,7.6,27.36,Private,3,1
55,2019-02-22 01:56:00,2019-02-22 12:07:24,10.19,21.36,Shared,7,2
56,2019-05-20 23:51:00,2019-05-21 09:21:36,9.51,34.24,Shared,6,5
57,2019-01-25 16:54:00,2019-01-25 19:39:00,2.75,19.8,Shared,4,1
58,2019-07-24 14:14:00,2019-07-24 18:13:24,3.99,14.36,Private,3,7
59,2019-04-22 02:22:00,2019-04-22 08:37:00,6.25,45.0,Shared,7,4
60,2019-05-19 00:56:00,2019-05-19 10:44:00,9.8,29.82,Shared,7,5
61,2019-04-15 08:27:00,2019-04-15 11:59:24,3.54,25.49,Private,0,4
62,2019-10-07 00:24:00,2019-10-07 04:45:00,4.35,15.66,Shared,7,10
63,2018-12-01 18:43:00,2018-12-01 20:59:48,2.28,8.21,Private,4,12
64,2019-11-06 04:20:00,2019-11-06 06:28:24,2.14,7.7,Private,7,11
65,2019-05-08 20:25:00,2019-05-09 05:10:00,8.75,50.49,Private,5,5
66,2019-11-06 05:47:00,2019-11-06 18:35:00,12.8,46.08,Private,7,11
67,2019-09-07 23:18:00,2019-09-08 04:00:36,4.71,16.96,Private,6,9
68,2019-11-01 15:28:00,2019-11-02 01:28:00,10.0,36.0,Shared,3,11
69,2020-01-12 22:18:00,2020-01-13 04:40:48,6.38,25.14,Shared,6,1
70,2019-03-31 19:51:00,2019-03-31 23:00:00,3.15,11.34,Private,5,3
71,2019-08-01 19:29:00,2019-08-02 01:51:48,6.38,45.94,Private,5,8
72,2019-12-03 20:25:00,2019-12-04 10:57:24,14.54,28.12,Shared,5,12
73,2019-12-20 00:49:00,2019-12-20 05:38:48,4.83,32.04,Shared,7,12
74,2019-11-22 16:35:00,2019-11-23 07:23:36,14.81,53.32,Private,4,11
75,2019-02-07 23:48:00,2019-02-08 00:35:24,0.79,5.69,Shared,6,2
76,2019-08-16 18:28:00,2019-08-17 03:16:36,8.81,31.72,Private,4,8
77,2019-04-12 23:49:00,2019-04-13 05:04:36,5.26,37.87,Private,6,4
78,2019-01-09 19:17:00,2019-01-09 23:18:12,4.02,28.94,Private,5,1
79,2019-02-09 10:44:00,2019-02-09 16:00:48,5.28,19.01,Private,1,2
80,2019-06-27 15:26:00,2019-06-27 16:39:48,1.23,4.43,Private,3,6
81,2019-12-30 21:01:00,2019-12-31 01:16:00,4.25,30.6,Shared,5,12
82,2019-05-02 23:34:00,2019-05-03 05:55:36,6.36,22.9,Private,6,5
83,2019-08-06 07:42:00,2019-08-06 21:38:24,13.94,59.83,Shared,0,8
84,2019-02-04 04:01:00,2019-02-04 07:28:00,3.45,24.84,Shared,7,2
85,2019-01-12 19:55:00,2019-01-12 22:43:36,2.81,20.23,Private,5,1
86,2019-05-17 13:21:00,2019-05-17 16:50:24,3.49,25.13,Shared,2,5
87,2019-07-04 12:30:00,2019-07-04 21:54:00,9.4,33.84,Private,2,7
88,2019-05-29 12:49:00,2019-05-29 19:02:48,6.23,22.43,Shared,2,5
89,2019-03-13 22:15:00,2019-03-14 01:40:12,3.42,12.31,Private,6,3
90,2019-03-22 17:49:00,2019-03-23 00:54:24,7.09,29.23,Private,4,3
91,2019-12-18 19:19:00,2019-12-19 00:37:00,5.3,19.08,Shared,5,12
92,2019-09-21 20:25:00,2019-09-22 06:10:36,9.76,24.18,Shared,5,9
93,2019-10-18 13:54:00,2019-10-18 16:55:48,3.03,10.91,Private,2,10
94,2018-12-22 15:42:00,2018-12-22 19:38:24,3.94,23.79,Private,3,12
95,2018-12-07 23:06:00,2018-12-08 02:51:36,3.76,27.07,Private,6,12
96,2020-01-29 16:27:00,2020-01-29 18:13:48,1.78,6.41,Shared,4,1
97,2019-04-18 21:49:00,2019-04-19 03:54:24,6.09,43.85,Shared,5,4
98,2019-09-30 14:53:00,2019-09-30 20:50:00,5.95,21.42,Private,3,9
99,2019-12-20 18:42:00,2019-12-20 23:40:12,4.97,35.78,Private,4,12
100,2019-05-16 12:22:00,2019-05-16 16:34:00,4.2,30.24,Shared,2,5
101,2019-11-25 04:00:00,2019-11-25 05:50:24,1.84,6.62,Shared,7,11
102,2019-08-08 16:44:00,2019-08-08 20:25:24,3.69,26.57,Private,4,8
103,2020-01-10 07:14:00,2020-01-10 11:08:00,3.9,28.08,Private,0,1
104,2019-09-24 15:27:00,2019-09-24 18:16:12,2.82,20.3,Private,3,9
105,2019-05-06 12:46:00,2019-05-06 17:11:12,4.42,15.91,Shared,2,5
106,2019-12-26 19:13:00,2019-12-27 01:47:12,6.57,35.21,Private,5,12
107,2019-12-25 17:06:00,2019-12-26 11:39:00,18.55,36.29,Private,4,12
108,2019-05-04 08:08:00,2019-05-04 13:44:00,5.6,22.5,Private,0,5
109,2019-04-29 19:40:00,2019-04-30 01:35:48,5.93,25.64,Private,5,4
110,2019-04-25 17:21:00,2019-04-25 22:03:00,4.7,16.92,Private,4,4
111,2019-08-02 09:25:00,2019-08-02 10:42:24,1.29,9.29,Private,1,8
112,2018-12-28 11:19:00,2018-12-28 16:10:36,4.86,17.5,Private,1,12
113,2019-12-27 18:50:00,2019-12-28 00:00:12,5.17,18.61,Private,4,12
114,2019-07-15 15:19:00,2019-07-16 15:19:00,24.0,53.53,Shared,3,7
115,2019-12-26 12:16:00,2019-12-26 16:35:48,4.33,15.59,Private,2,12
116,2019-01-08 10:28:00,2019-01-08 16:35:12,6.12,36.02,Private,1,1
117,2019-11-27 15:04:00,2019-11-27 19:53:48,4.83,17.39,Shared,3,11
118,2019-10-17 19:27:00,2019-10-17 21:38:24,2.19,7.88,Private,5,10
119,2019-04-16 22:03:00,2019-04-17 09:04:12,11.02,39.67,Private,6,4
120,2020-01-27 20:28:00,2020-01-28 04:50:48,8.38,30.17,Private,5,1
121,2019-06-25 04:34:00,2019-06-25 13:11:12,8.62,44.08,Private,7,6
122,2019-07-10 23:01:00,2019-07-11 01:38:12,2.62,9.43,Shared,6,7
123,2019-09-21 19:48:00,2019-09-22 09:01:12,13.22,51.69,Shared,5,9
124,2019-02-28 18:28:00,2019-02-28 20:19:36,1.86,13.39,Private,4,2
125,2019-10-22 22:30:00,2019-10-23 05:58:12,7.47,42.46,Private,6,10
