user_id,user_type,hour,uncontrolled_3_6kw,uncontrolled_7_2kw,flexible_3_6kw,flexible_7_2kw
1,Private,0,0.558,1.07,2.474,4.959
1,Private,1,0.821,1.598,3.044,5.519
1,Private,2,0.326,0.657,2.992,5.772
1,Private,3,0.817,1.53,2.767,5.081
1,Private,4,0.0,0.0,3.71,6.684
1,Private,5,0.378,0.775,3.025,5.461
1,Private,6,1.266,2.498,1.45,2.944
1,Private,7,0.048,0.099,0.342,0.654
1,Private,8,0.338,0.694,0.0,0.0
1,Private,9,0.331,0.663,0.0,0.0
1,Private,10,0.698,1.317,0.0,0.0
1,Private,11,1.231,2.322,0.2,0.37
1,Private,12,0.948,1.734,0.012,0.022
1,Private,13,3.402,6.783,0.284,0.562
1,Private,14,2.971,5.473,0.051,0.094
1,Private,15,3.136,5.734,0.0,0.0
1,Private,16,2.461,4.507,0.662,1.295
1,Private,17,3.229,6.714,0.599,1.079
1,Private,18,1.297,2.624,0.0,0.0
1,Private,19,0.132,0.242,1.102,2.144
1,Private,20,1.666,3.173,0.169,0.327
1,Private,21,0.859,1.635,0.0,0.0
1,Private,22,0.953,1.928,2.802,5.821
1,Private,23,0.0,0.0,2.584,5.352
2,Private,0,0.731,1.492,2.653,4.999
2,Private,1,0.684,1.251,2.673,5.125
2,Private,2,0.298,0.551,3.367,6.207
2,Private,3,0.854,1.7,3.057,5.975
2,Private,4,1.195,2.49,3.233,6.781
2,Private,5,1.501,3.032,2.894,5.794
2,Private,6,0.488,0.929,0.0,0.0
2,Private,7,0.488,0.987,0.527,1.049
2,Private,8,1.422,2.914,0.526,1.048
2,Private,9,0.0,0.0,0.57,1.054
2,Private,10,0.0,0.0,0.503,0.906
2,Private,11,0.521,1.07,0.433,0.902
2,Private,12,0.0,0.0,0.602,1.098
2,Private,13,0.0,0.0,0.0,0.0
2,Private,14,0.181,0.368,0.0,0.0
2,Private,15,0.771,1.454,0.83,1.588
2,Private,16,2.16,4.079,0.215,0.403
2,Private,17,4.203,8.555,0.264,0.532
2,Private,18,3.869,7.789,0.057,0.115
2,Private,19,3.705,6.797,0.373,0.773
2,Private,20,3.288,6.841,0.152,0.316
2,Private,21,3.568,6.783,0.478,0.87
2,Private,22,0.144,0.272,3.041,6.003
2,Private,23,1.752,3.34,3.479,7.261
3,Shared,0,1.449,2.671,3.069,6.092
3,Shared,1,0.893,1.612,3.421,6.596
3,Shared,2,1.563,3.087,2.357,4.458
3,Shared,3,0.01,0.019,3.531,6.69
3,Shared,4,0.57,1.182,2.818,5.287
3,Shared,5,0.043,0.088,2.86,5.738
3,Shared,6,0.0,0.0,0.933,1.736
3,Shared,7,0.708,1.408,0.159,0.288
3,Shared,8,1.038,2.112,0.526,0.951
3,Shared,9,1.231,2.408,0.567,1.048
3,Shared,10,0.379,0.719,0.073,0.146
3,Shared,11,1.135,2.083,0.0,0.0
3,Shared,12,3.597,7.192,0.324,0.626
3,Shared,13,4.024,7.425,0.0,0.0
3,Shared,14,3.986,7.182,0.096,0.181
3,Shared,15,3.982,7.755,0.46,0.936
3,Shared,16,4.468,8.059,0.667,1.235
3,Shared,17,1.447,2.678,0.7,1.328
3,Shared,18,0.877,1.82,0.192,0.384
3,Shared,19,1.191,2.172,0.444,0.833
3,Shared,20,0.553,1.011,0.326,0.628
3,Shared,21,0.701,1.471,0.0,0.0
3,Shared,22,1.417,2.936,3.08,5.864
3,Shared,23,1.826,3.794,2.475,4.82
4,Private,0,0.419,0.766,3.072,5.758
4,Private,1,1.334,2.793,3.204,6.357
4,Private,2,0.888,1.692,2.654,5.215
4,Private,3,0.095,0.187,3.176,6.244
4,Private,4,0.0,0.0,2.869,5.692
4,Private,5,0.99,1.845,2.706,5.559
4,Private,6,1.587,3.21,0.621,1.233
4,Private,7,0.0,0.0,0.0,0.0
4,Private,8,0.0,0.0,0.0,0.0
4,Private,9,1.134,2.365,0.031,0.057
4,Private,10,0.969,1.914,0.0,0.0
4,Private,11,1.151,2.409,0.0,0.0
4,Private,12,3.607,6.611,0.147,0.3
4,Private,13,2.913,5.926,0.0,0.0
4,Private,14,4.123,7.774,0.324,0.61
4,Private,15,4.167,8.012,0.297,0.619
4,Private,16,3.677,7.148,0.0,0.0
4,Private,17,0.574,1.129,0.17,0.324
4,Private,18,1.775,3.285,0.427,0.884
4,Private,19,1.549,3.046,0.395,0.82
4,Private,20,0.336,0.611,0.222,0.445
4,Private,21,0.848,1.691,0.0,0.0
4,Private,22,0.512,1.066,2.986,5.597
4,Private,23,1.587,3.325,2.311,4.829
5,Private,0,1.371,2.614,2.723,5.623
5,Private,1,0.0,0.0,3.485,6.878
5,Private,2,1.115,2.064,3.512,6.777
5,Private,3,1.152,2.076,3.802,7.438
5,Private,4,1.022,2.032,3.004,6.096
5,Private,5,0.905,1.658,3.508,6.565
5,Private,6,0.299,0.599,0.0,0.0
5,Private,7,0.553,1.109,0.0,0.0
5,Private,8,0.795,1.49,0.0,0.0
5,Private,9,0.749,1.499,0.492,0.993
5,Private,10,0.462,0.937,0.784,1.491
5,Private,11,0.0,0.0,0.609,1.194
5,Private,12,1.085,2.267,0.0,0.0
5,Private,13,2.184,4.3,0.157,0.323
5,Private,14,3.126,5.66,0.0,0.0
5,Private,15,3.481,6.819,0.134,0.249
5,Private,16,3.655,7.242,0.073,0.153
5,Private,17,3.942,7.146,0.04,0.082
5,Private,18,2.555,4.748,0.126,0.263
5,Private,19,0.0,0.0,0.307,0.635
5,Private,20,0.191,0.386,0.239,0.469
5,Private,21,1.43,2.922,0.0,0.0
5,Private,22,1.293,2.677,2.904,5.479
5,Private,23,1.667,3.053,2.929,5.651
6,Private,0,0.266,0.526,3.307,6.643
6,Private,1,0.485,1.0,2.757,5.444
6,Private,2,0.462,0.921,3.044,6.15
6,Private,3,1.445,2.743,2.364,4.854
6,Private,4,0.732,1.511,3.285,6.483
6,Private,5,0.824,1.492,3.532,6.733
6,Private,6,0.68,1.323,0.114,0.238
6,Private,7,1.04,2.109,0.216,0.411
6,Private,8,0.509,1.024,0.366,0.661
6,Private,9,0.368,0.711,0.0,0.0
6,Private,10,0.435,0.913,0.667,1.379
6,Private,11,0.0,0.0,0.322,0.624
6,Private,12,0.739,1.426,0.0,0.0
6,Private,13,0.887,1.768,0.351,0.658
6,Private,14,1.038,2.109,0.0,0.0
6,Private,15,1.458,2.763,0.0,0.0
6,Private,16,1.091,2.099,0.447,0.862
6,Private,17,0.247,0.468,0.418,0.867
6,Private,18,3.392,6.742,0.0,0.0
6,Private,19,4.231,7.844,0.0,0.0
6,Private,20,3.139,5.805,0.035,0.068
6,Private,21,3.747,6.933,0.159,0.299
6,Private,22,3.896,7.28,2.578,5.225
6,Private,23,0.319,0.592,3.018,6.213
7,Private,0,1.745,3.312,3.019,5.801
7,Private,1,1.306,2.477,3.074,6.276
7,Private,2,0.459,0.841,2.971,6.182
7,Private,3,0.629,1.144,3.277,6.128
7,Private,4,1.462,2.715,3.189,6.594
7,Private,5,1.361,2.612,2.713,5.414
7,Private,6,0.496,0.927,0.0,0.0
7,Private,7,0.89,1.81,0.051,0.099
7,Private,8,1.114,2.276,0.0,0.0
7,Private,9,0.743,1.48,0.427,0.864
7,Private,10,0.0,0.0,0.944,1.8
7,Private,11,0.567,1.143,0.0,0.0
7,Private,12,3.685,6.747,0.192,0.391
7,Private,13,3.556,6.572,0.537,1.01
7,Private,14,4.004,8.247,0.287,0.553
